Rank	Name	HRef	Year Published	Geek Rating	Average Rating	Number of Voters
74	Alchemists	/boardgame/161970/alchemists	2014	7.530	7.76	10923
75	Arcadia Quest	/boardgame/155068/arcadia-quest	2014	7.528	7.96	5686
76	A Game of Thrones: The Board Game (Second Edition)	/boardgame/103343/game-thrones-board-game-second-edition	2011	7.528	7.72	19173
77	Legendary Encounters: An Alien Deck Building Game	/boardgame/146652/legendary-encounters-alien-deck-building-game	2014	7.512	7.85	7106
78	Ora et Labora	/boardgame/70149/ora-et-labora	2011	7.505	7.77	7809
79	Forbidden Stars	/boardgame/175155/forbidden-stars	2015	7.497	8.04	4347
80	Star Realms	/boardgame/147020/star-realms	2014	7.496	7.64	20781
81	Nations	/boardgame/126042/nations	2013	7.489	7.74	8654
82	Suburbia	/boardgame/123260/suburbia	2012	7.489	7.63	15794
83	Commands & Colors: Ancients	/boardgame/14105/commands-colors-ancients	2006	7.481	7.79	6970
84	Railways of the World	/boardgame/17133/railways-world	2005	7.478	7.70	9620
85	Ticket to Ride: Europe	/boardgame/14996/ticket-ride-europe	2005	7.477	7.59	37907
86	Chaos in the Old World	/boardgame/43111/chaos-old-world	2009	7.473	7.68	11679
87	Istanbul	/boardgame/148949/istanbul	2014	7.468	7.63	13946
88	Paths of Glory	/boardgame/91/paths-glory	1999	7.463	8.02	3688
89	Cosmic Encounter	/boardgame/39463/cosmic-encounter	2008	7.457	7.61	20143
90	Combat Commander: Europe	/boardgame/21050/combat-commander-europe	2006	7.449	7.91	4478
91	Captain Sonar	/boardgame/171131/captain-sonar	2016	7.438	7.80	5923
92	Goa	/boardgame/9216/goa	2004	7.432	7.64	9815
93	Steam	/boardgame/27833/steam	2009	7.431	7.67	8229
94	The Lord of the Rings: The Card Game	/boardgame/77423/lord-rings-card-game	2011	7.423	7.64	15587
95	Jaipur	/boardgame/54043/jaipur	2009	7.422	7.55	20506
96	La Granja	/boardgame/146886/la-granja	2014	7.419	7.78	5275
97	Age of Steam	/boardgame/4098/age-steam	2002	7.419	7.70	6861
98	Hansa Teutonica	/boardgame/43015/hansa-teutonica	2009	7.417	7.63	8837
99	Splendor	/boardgame/148228/splendor	2014	7.417	7.52	33119
100	Zombicide: Black Plague	/boardgame/176189/zombicide-black-plague	2015	7.416	7.90	5949
101	Viticulture	/boardgame/128621/viticulture	2013	7.414	7.73	6610
102	The Princes of Florence	/boardgame/555/princes-florence	2000	7.414	7.58	13353
103	Village	/boardgame/104006/village	2011	7.411	7.56	14550
104	Ticket to Ride: Nordic Countries	/boardgame/31627/ticket-ride-nordic-countries	2007	7.404	7.66	8369
105	Tichu	/boardgame/215/tichu	1991	7.402	7.61	10862
106	Go	/boardgame/188/go	-2200	7.401	7.67	11873
107	Memoir '44	/boardgame/10630/memoir-44	2004	7.392	7.54	20060
108	Legendary: A Marvel Deck Building Game	/boardgame/129437/legendary-marvel-deck-building-game	2012	7.392	7.63	13638
109	Imperial Settlers	/boardgame/154203/imperial-settlers	2014	7.388	7.56	13539
110	Mage Wars Arena	/boardgame/101721/mage-wars-arena	2012	7.382	7.78	6224
111	Ticket to Ride	/boardgame/9209/ticket-ride	2004	7.382	7.48	50900
112	Shogun	/boardgame/20551/shogun	2006	7.367	7.57	10808
113	Galaxy Trucker	/boardgame/31481/galaxy-trucker	2007	7.366	7.47	21720
114	Hannibal: Rome vs. Carthage	/boardgame/234/hannibal-rome-vs-carthage	1996	7.364	7.83	4369
115	Summoner Wars: Master Set	/boardgame/93260/summoner-wars-master-set	2011	7.360	7.61	8933
116	Lewis & Clark	/boardgame/140620/lewis-clark	2013	7.359	7.58	9262
